average,cpu,thrust,work-efficient-hierarchical
262144,15.2229,0.33616,2.50285
1048576,53.8519,0.500576,9.99024
4194304,214.017,1.09955,36.0509
16777216,869.482,3.45302,140.769

sample-29,cpu,thrust,work-efficient-hierarchical
4096,0.1456,0.053696,0.8192
16384,0.6867,0.090112,0.863104
65536,3.1279,0.090016,1.0959
262144,13.7734,0.331968,2.2528
1048576,61.3351,0.366528,9.9471
4194304,226.547,0.812832,36.0172
16777216,890.822,3.25837,141.034

sample-30,cpu,thrust,work-efficient-hierarchical
4096,0.1452,0.05264,0.813632
16384,0.6821,0.088064,0.861632
65536,3.2378,0.087616,1.09779
262144,13.5381,0.331904,2.28352
1048576,53.5992,0.558816,10.3204
4194304,212.531,1.09632,36.0714
16777216,854.149,3.55594,140.738

sample-31,cpu,thrust,work-efficient-hierarchical
4096,0.145,0.055424,0.818048
16384,0.6819,0.090112,1.10058
65536,3.3982,0.13552,1.11741
262144,14.3016,0.217568,2.35629
1048576,58.0334,0.477024,9.94509
4194304,249.449,0.851648,36.1464
16777216,915.633,3.22592,140.827

sample-32,cpu,thrust,work-efficient-hierarchical
4096,0.1527,0.056608,0.826016
16384,0.7139,0.095488,0.883232
65536,3.5285,0.09568,1.088
262144,15.332,0.21008,2.29171
1048576,58.5318,0.458048,9.94189
4194304,211.769,0.978784,36.0305
16777216,869.159,3.38138,140.767

sample-33,cpu,thrust,work-efficient-hierarchical
4096,0.1445,0.053856,0.82288
16384,0.6972,0.08816,0.887776
65536,4.0182,0.090464,1.11149
262144,14.1442,0.340448,2.75622
1048576,55.1344,0.48336,9.99149
4194304,235.259,0.872448,36.0144
16777216,907.995,3.38944,140.796

sample-34,cpu,thrust,work-efficient-hierarchical
4096,0.156,0.053248,0.818816
16384,0.7704,0.090112,0.86176
65536,3.4908,0.111584,1.08794
262144,15.6915,0.206848,2.43165
1048576,59.3589,0.366592,9.94973
4194304,215.145,0.904704,36.0264
16777216,866.879,3.42816,140.782

sample-35,cpu,thrust,work-efficient-hierarchical
4096,0.1409,0.053248,1.03408
16384,0.718,0.089728,0.864064
65536,3.2,0.085664,1.0895
262144,14.9613,0.342016,2.25635
1048576,54.1733,0.453088,9.98003
4194304,211.086,0.919648,36.043
16777216,909.299,3.35114,140.765

sample-36,cpu,thrust,work-efficient-hierarchical
4096,0.1445,0.055296,0.825824
16384,0.6823,0.088064,0.855808
65536,3.1642,0.088032,1.10387
262144,14.4064,0.21376,2.27472
1048576,58.3961,0.535744,10.2011
4194304,224.208,0.966656,36.0269
16777216,858.313,3.45366,143.232

sample-37,cpu,thrust,work-efficient-hierarchical
4096,0.1546,0.057152,0.812704
16384,0.7275,0.091424,0.864256
65536,3.3844,0.090208,1.09587
262144,14.4875,0.346752,2.26102
1048576,55.7132,0.438272,9.94918
4194304,221.02,0.987136,36.0653
16777216,889.065,3.44195,140.863

sample-38,cpu,thrust,work-efficient-hierarchical
4096,0.1613,0.06192,0.829984
16384,0.7484,0.090112,0.905216
65536,3.4755,0.088064,1.0935
262144,14.9184,0.331168,2.40912
1048576,58.0541,0.413408,10.2696
4194304,218.833,0.88064,36.0369
16777216,856.643,3.22976,140.64

