average,cpu,thrust,work-efficient-hierarchical
16384,0.6862,0.090976,0.850816
65536,3.1588,0.092224,1.09158
262144,14.1245,0.206848,2.26438
1048576,56.8785,0.477536,9.99219
4194304,229.961,0.839616,35.9815
16777216,847.846,5.15482,158.116

sample-37,cpu,thrust,work-efficient-hierarchical
4096,0.1577,0.053952,0.828704
16384,0.7562,0.0904,0.851936
65536,3.3986,0.090112,1.09158
262144,14.1342,0.348288,2.25101
1048576,52.5195,0.466656,10.0234
4194304,218.966,0.889472,35.9935
16777216,886.077,5.02595,161.577

sample-38,cpu,thrust,work-efficient-hierarchical
4096,0.1798,0.065536,0.813312
16384,0.7694,0.092096,0.858624
65536,3.5323,0.088928,1.08733
262144,15.4028,0.21392,2.61549
1048576,58.1417,0.503584,9.94918
4194304,226.075,0.960512,36.053
16777216,838.565,5.22394,171.165

sample-39,cpu,thrust,work-efficient-hierarchical
4096,0.1532,0.057344,0.832416
16384,0.7531,0.090528,0.849472
65536,3.4172,0.105408,1.0945
262144,14.2571,0.208704,2.24461
1048576,56.0468,0.452672,9.93882
4194304,219.9,0.915616,36.0222
16777216,884.09,5.10918,165.964

sample-40,cpu,thrust,work-efficient-hierarchical
4096,0.1488,0.056608,0.824192
16384,0.7005,0.088064,0.845824
65536,3.2062,0.090112,1.09194
262144,14.448,0.255904,2.33088
1048576,56.2996,0.499712,10.0639
4194304,227.135,0.890624,36.0303
16777216,837.695,4.08912,148.441

sample-41,cpu,thrust,work-efficient-hierarchical
4096,0.1421,0.051392,0.81456
16384,0.6808,0.086016,0.866848
65536,3.4222,0.09056,1.14317
262144,14.1578,0.210944,2.36954
1048576,55.4933,0.506848,10.0106
4194304,218.538,0.944128,36.0198
16777216,877.838,4.08003,150.255

sample-42,cpu,thrust,work-efficient-hierarchical
4096,0.1554,0.055296,0.956864
16384,0.7241,0.119168,1.15296
65536,3.4115,0.095712,1.1087
262144,14.6997,0.333952,2.25952
1048576,59.9022,0.371904,9.95738
4194304,219.45,0.8112,36.0613
16777216,842.754,4.18726,147.393

sample-43,cpu,thrust,work-efficient-hierarchical
4096,0.1437,0.0512,0.833536
16384,0.6634,0.086496,0.84992
65536,3.1875,0.091776,1.09363
262144,15.1376,0.264192,2.30038
1048576,54.4466,0.491264,10.0226
4194304,218.448,0.965984,36.1024
16777216,880.516,4.98115,164.626

sample-44,cpu,thrust,work-efficient-hierarchical
4096,0.156,0.057344,0.826208
16384,0.7071,0.090336,0.85488
65536,3.2889,0.090112,1.1064
262144,14.9624,0.292224,2.29226
1048576,58.7932,0.462816,9.94304
4194304,226.469,0.893088,36.0141
16777216,849.035,4.76976,164.708

sample-45,cpu,thrust,work-efficient-hierarchical
4096,0.1432,0.051456,0.815424
16384,0.7432,0.091072,0.8512
65536,3.2772,0.08624,1.09021
262144,14.6631,0.262144,2.45072
1048576,54.8887,0.59376,10.0084
4194304,210.843,0.905216,36.0184
16777216,846.266,4.01203,148.286

sample-46,cpu,thrust,work-efficient-hierarchical
4096,0.1644,0.055712,0.826624
